Application_Id,Parent_Application_Id,Process_Id,Payment_Status,Objection_Status,Manufactrer_Id,Created_On,Is_Service_Completed,Request_Id_Fk,Is_Service_Submitted,Application_To_Be_Received_By,Payment_Remarks,Payment_Status_Date,Payment_Status_By,Is_Payment_Required,Application_Status,Application_Status_Updated_By,Application_Status_Updated_On,Is_Output_Generated,Output_Generated_On,Output_File_Name,Output_BlobFileReference,Output_ContainerName,Amount,Is_District_Level,LicenseType,RejectionRemarks,EsewaApplication_Id,FinalOutput_FileName,FinalOutput_BlobReference,Is_data_MOved,Deleted_Esewa_Application_Id,ReceiptNo,PaymentAmount,PaymentDate,PaymentBy,date_difference
2,533,29,2,NULL,13452,16:02.5,1,NULL,Submitted,1848680,NULL,21:31.9,13452,Yes,Approved,00:00.0,22:47.4,00:00.0,24:53.9,Final_Certificate_2a87d4ec.jpg,2020/september/20200901/1848680_6bfdb7a4_1cdc_45ed_8489_88673fa4d608_dt_01092020_0502_36_901,agricultercontainer,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
3,6820,33,2,NULL,13450,39:16.0,1,NULL,Submitted,1847563,NULL,NULL,NULL,Yes,Approved,00:00.0,48:55.2,00:00.0,51:45.5,Final_Certificate_4b523a5d.pdf,2020/september/20200902/1847563_8e4d9c15_f16a_4ef6_a3f2_14809693cd30_dt_02092020_0729_31_622,agricultercontainer,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
6,533,27,2,NULL,13452,38:33.8,1,NULL,Submitted,1848680,NULL,44:23.5,13452,Yes,Approved,00:00.0,45:18.1,00:00.0,47:48.2,Final_Certificate_6b21e87e.jpg,2020/september/20200902/1848680_c9eac90f_43c7_4dbe_8c8d_5491213b2248_dt_02092020_0625_30_190,agricultercontainer,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
7,6820,28,2,NULL,13450,40:54.2,1,NULL,Submitted,1847589,NULL,02:24.0,13450,Yes,Approved,00:00.0,06:00.2,00:00.0,10:58.5,Final_Certificate_03d446f2.pdf,2020/september/20200903/1847589_77c8a9ed_f134_449d_979f_9ad4038974be_dt_03092020_0448_47_296,agricultercontainer,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
8,534,29,1,NULL,13456,54:51.3,0,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Pending,00:00.0,17:24.6,NULL,NULL,NULL,NULL,NULL,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,535,29,9,NULL,13460,35:51.5,0,NULL,Submitted,1848680,NULL,28:18.9,13460,Yes,Pending,00:00.0,37:04.3,NULL,NULL,NULL,NULL,NULL,5000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,542,29,NULL,NULL,13576,40:22.9,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,41:37.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,90,27,NULL,NULL,463,41:43.6,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,09:43.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,543,29,1,NULL,13450,57:28.1,1,NULL,Submitted,1848680,NULL,20:25.3,13450,Yes,Approved,00:00.0,49:21.3,00:00.0,49:45.5,Timelines - Fertilizer_page-0001_2e591307.jpg,2020/september/20200908/1848680_7b2c86ba_2de1_49ac_b845_5b6b5d514e1e_dt_08092020_1127_05_441,agricultercontainer,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
13,7053,35,NULL,NULL,13450,01:46.9,0,NULL,Draft,2050575,NULL,NULL,NULL,Yes,Pending,NULL,50:38.2,NULL,NULL,NULL,NULL,NULL,NULL,1,2, Incomplete Information,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,7054,35,2,NULL,2375,38:51.3,1,NULL,Submitted,1846242,NULL,52:32.0,2375,Yes,Approved,00:00.0,53:10.7,00:00.0,14:06.7,Licence_d74a5857.pdf,2020/september/20200910/1846242_bc503127_4abc_4ad6_80bd_541ef72773f4_dt_10092020_0843_22_090,agricultercontainer,500,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
15,544,29,2,NULL,13579,00:23.6,1,NULL,Submitted,1848680,NULL,34:01.6,13579,Yes,Approved,00:00.0,34:57.9,00:00.0,44:24.6,A2_d04e6c02.pdf,2020/september/20200921/1848680_081998ba_01b6_4241_ad20_32af22c521f4_dt_21092020_0512_30_983,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
16,90,27,2,NULL,463,28:34.0,1,NULL,Submitted,1848680,NULL,26:07.2,463,Yes,Approved,00:00.0,38:19.8,00:00.0,04:53.8,A-2 Ganpati_2afc434f.pdf,2020/september/20200921/1848680_e9716189_eb71_4d5b_8f35_0fec4c37c772_dt_21092020_1033_01_008,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
17,258,27,2,NULL,445,27:38.4,1,NULL,Submitted,1848680,NULL,54:57.7,445,Yes,Approved,00:00.0,49:02.1,00:00.0,06:49.0,SG Biotech(1)_0bec7595.pdf,2020/october/20201007/1848680_fbb9d850_829d_4c27_9f40_a599f0a172fa_dt_07102020_0537_42_345,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18
18,169,27,2,NULL,481,28:30.0,1,NULL,Submitted,1848680,NULL,17:28.3,481,Yes,Approved,00:00.0,24:32.0,00:00.0,26:41.9,1689_8cc8dd30.pdf,2020/september/20200924/1848680_4d81f7eb_4313_4cb3_9fd9_32d457cea85c_dt_24092020_1054_27_241,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
19,81,27,2,NULL,462,48:02.9,1,NULL,Submitted,1848680,NULL,59:11.3,462,Yes,Approved,00:00.0,49:15.4,00:00.0,07:21.4,FMC(2)_96cc9c74.pdf,2020/october/20201007/1848680_ece58cd1_6172_4068_a189_1f346a6d15a1_dt_07102020_0538_16_153,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13
20,82,27,2,NULL,514,16:17.1,1,NULL,Submitted,1848680,NULL,49:28.3,514,Yes,Approved,00:00.0,49:08.9,00:00.0,17:11.1,fns_51cc6805.pdf,2020/october/20201006/1848680_a66f97de_75ac_401b_9028_e59316270118_dt_06102020_0448_06_725,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
21,7315,35,2,NULL,13709,04:56.0,1,NULL,Submitted,1846192,NULL,46:17.7,13709,Yes,Approved,00:00.0,46:47.1,00:00.0,01:10.8,fert license_5afeb113.pdf,2020/october/20201006/1846192_755bf546_d205_4565_96ab_bd2c6b426125_dt_06102020_1032_08_574,agricultercontainer,1000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
22,269,27,2,NULL,367,33:07.7,1,NULL,Submitted,1848680,NULL,40:16.8,367,Yes,Approved,00:00.0,47:56.3,00:00.0,02:00.2,SBG Agrotech (LOA)_aa682f4e.pdf,2020/october/20201020/1848680_027222e4_9ea1_43b8_99aa_a872d69dc0a7_dt_20102020_1002_02_107.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20
23,128,27,2,NULL,299,21:45.1,1,NULL,Submitted,1848680,NULL,49:31.0,299,Yes,Approved,00:00.0,33:22.7,00:00.0,14:21.8,Fertilizer Licences (New 2020)_d34f1200.pdf,2020/november/20201113/1848680_88671885_40b4_462f_9d90_0548f1c4191f_dt_13112020_1214_21_627.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44
24,545,29,2,NULL,13713,36:38.8,1,NULL,Submitted,1848680,NULL,57:37.3,13713,Yes,Approved,00:00.0,58:59.3,00:00.0,08:25.8,KK Chemicals_2e4d6ef0.pdf,2020/november/20201107/1848680_a8d5c65e_accf_4e73_9008_b60506b5a275_dt_07112020_0608_25_660.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33
25,4,27,2,NULL,417,15:40.4,1,NULL,Submitted,1848680,NULL,22:03.8,417,Yes,Approved,00:00.0,33:53.8,00:00.0,39:30.2,Active Agro_83be3848.pdf,2020/october/20201023/1848680_3b9eb681_40c8_4c4a_8a78_4543c4c9baa8_dt_23102020_0239_31_296.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11
26,7318,35,2,NULL,13457,12:00.3,1,NULL,Submitted,1846242,NULL,41:43.8,13457,Yes,Approved,00:00.0,48:08.8,00:00.0,40:35.7,IMG20210111163424_6780c1e1.jpg,2021/january/20210111/1846242_b4bcbd2d_23de_41d8_836d_fa7297f6eb59_dt_11012021_0440_33_919.jpg,agricultercontainer,1000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91
27,548,29,2,NULL,13724,24:05.0,1,NULL,Submitted,1848680,NULL,46:42.4,13724,Yes,Approved,00:00.0,58:08.9,00:00.0,16:30.0,New Chem Agro Pvt Ltd_9f62c308.pdf,2020/october/20201021/1848680_bdea47ed_daf7_4590_88a1_ee89f4ddee25_dt_21102020_1216_31_078.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
28,549,29,2,NULL,13725,03:39.0,1,NULL,Submitted,1848680,NULL,01:27.7,13725,Yes,Approved,00:00.0,59:11.3,00:00.0,08:42.0,Kemtura_b0f611e2.pdf,2020/november/20201107/1848680_a88b08b7_3218_42e0_8bdc_8c394fc570e6_dt_07112020_0608_41_946.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25
29,7319,35,2,NULL,13727,34:15.8,1,NULL,Submitted,1846192,NULL,42:30.0,13727,Yes,Approved,00:00.0,53:25.8,00:00.0,16:32.3,Zimidara Agro store Lic_2_4b19c373.pdf,2021/january/20210111/1846192_db671f32_9ead_4233_bcd2_99e52c264425_dt_11012021_0116_30_307.pdf,agricultercontainer,1000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89
30,551,29,NULL,NULL,572,31:57.3,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,48:47.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,96,27,2,NULL,317,45:09.6,1,NULL,Submitted,1848680,NULL,34:34.9,317,Yes,Approved,00:00.0,28:20.2,00:00.0,25:42.3,Ghaggar_4eab37b7.pdf,2020/november/20201119/1848680_7a9133f6_0df2_4283_b388_a68ecf337bee_dt_19112020_0425_42_568.pdf,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33
32,92,27,2,NULL,316,06:37.4,1,NULL,Submitted,1848680,NULL,58:47.9,316,Yes,Approved,00:00.0,33:07.5,00:00.0,26:46.1,Gee Pee Biofert_1a1f729e.pdf,2020/november/20201105/1848680_68b6f300_4bd2_49fd_8e34_eff21dc64142_dt_05112020_0226_46_034.pdf,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19
33,264,27,2,NULL,269,34:52.3,1,NULL,Submitted,1848680,NULL,50:29.7,269,Yes,Approved,00:00.0,32:42.0,00:00.0,26:23.2,Sai Ram_9b2394f5.pdf,2020/november/20201119/1848680_8810c8f0_2d02_4e49_8804_320ecaca6129_dt_19112020_0426_23_380.pdf,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32
34,7314,35,2,NULL,13699,40:48.1,1,NULL,Submitted,1846242,NULL,20:14.7,13699,Yes,Approved,00:00.0,19:38.1,00:00.0,19:55.6,634_63eac1cf.pdf,2020/october/20201026/1846242_5e5edc14_6958_4700_8e32_067da38002db_dt_26102020_0119_56_742.pdf,agricultercontainer,1000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
35,113,27,2,NULL,335,49:59.8,1,NULL,Submitted,1848680,NULL,26:58.0,335,Yes,Approved,00:00.0,27:56.6,00:00.0,29:26.9,GNFC_2418c19e.pdf,2020/november/20201119/1848680_985cdfae_2803_4aa0_83db_8b2f0e0700ea_dt_19112020_0429_27_114.pdf,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31
36,552,29,NULL,NULL,14262,45:10.3,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,48:58.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,554,29,NULL,NULL,14264,47:09.5,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,25:50.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,551,29,2,NULL,572,46:13.9,1,NULL,Submitted,1848680,NULL,20:52.6,572,Yes,Approved,00:00.0,26:46.9,00:00.0,30:28.0,Jai Agro Ind._0830d2c1.pdf,2020/november/20201127/1848680_be4229cd_fb40_4ca2_b8d4_1a9f59d088e1_dt_27112020_1030_27_773.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35
39,554,29,2,NULL,14264,29:20.2,1,NULL,Submitted,1848680,NULL,15:09.0,14264,Yes,Approved,00:00.0,39:35.3,00:00.0,33:50.9,Mahamaya_license_f8f18f69.pdf,2020/december/20201211/1848680_79a01e2f_8e65_4761_ad8a_a1dd05631141_dt_11122020_1233_48_662.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46
40,13,27,2,NULL,294,09:39.4,1,NULL,Submitted,1848680,NULL,06:03.3,294,Yes,Approved,00:00.0,04:40.0,00:00.0,57:29.1,agrico organics_89a6d017.pdf,2021/january/20210128/1848680_ec03a0ea_3804_4692_8400_c0ed9305effe_dt_28012021_1157_32_188.pdf,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93
41,7321,35,2,NULL,13723,31:36.5,1,NULL,Submitted,1846242,NULL,38:08.6,13723,Yes,Approved,00:00.0,48:29.8,00:00.0,38:17.3,IMG20210111163424_23ec0e04.jpg,2021/january/20210111/1846242_7404c712_e6e3_4e95_be89_1dddfb339a7c_dt_11012021_0438_15_508.jpg,agricultercontainer,1000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76
42,7320,35,2,NULL,3145,11:59.1,1,NULL,Submitted,1846242,NULL,02:37.3,3145,Yes,Approved,00:00.0,47:59.9,00:00.0,43:06.5,IMG20210111163424_22091b73.jpg,2021/january/20210111/1846242_bc1e0130_2d42_48a4_828a_48dec83c7e58_dt_11012021_0443_04_683.jpg,agricultercontainer,1000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76
43,83,27,2,NULL,533,55:03.9,1,NULL,Submitted,1848680,NULL,10:02.1,533,Yes,Approved,00:00.0,11:22.6,00:00.0,25:01.3,Forever renewal_4dc13f8d.pdf,2020/november/20201127/1848680_c384f037_d71b_48c1_94be_a1f02cceb9b7_dt_27112020_1025_01_112.pdf,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28
44,555,29,NULL,NULL,622,35:34.1,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,55:35.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,7323,35,NULL,NULL,14266,41:58.4,0,NULL,Draft,1846001,NULL,NULL,NULL,Yes,Pending,NULL,21:38.2,NULL,NULL,NULL,NULL,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,556,29,2,NULL,14267,40:14.1,1,NULL,Submitted,1848680,NULL,44:18.8,14267,Yes,Approved,00:00.0,28:06.5,00:00.0,25:07.8,Anderson_f38a9d0e.pdf,2020/november/20201119/1848680_5798f79c_9777_4a1d_939b_61fc8ffc2f28_dt_19112020_0425_08_062.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17
47,7324,35,2,NULL,14271,19:37.1,1,NULL,Submitted,1846001,NULL,39:13.1,14271,Yes,Approved,00:00.0,32:59.6,00:00.0,04:16.2,Ratol(f)_f1c78b82.pdf,2021/january/20210127/1846001_aabc520b_b6c1_4f11_8f32_92d4dfa419d9_dt_27012021_0304_19_300.pdf,agricultercontainer,1500,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81
48,138,27,NULL,NULL,508,31:20.9,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,40:04.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,138,27,2,NULL,508,14:26.6,1,NULL,Submitted,1848680,NULL,54:40.5,508,Yes,Approved,00:00.0,35:19.0,00:00.0,04:45.7,Indogulf license_52aac1dc.pdf,2020/december/20201229/1848680_099cfdde_b800_4737_89ed_42bdcd99d88d_dt_29122020_1204_46_428.pdf,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49
50,553,29,2,NULL,14263,25:10.9,1,NULL,Submitted,1848680,NULL,12:55.3,14263,Yes,Approved,00:00.0,25:42.5,00:00.0,15:53.9,agrius_7da03f6f.pdf,2021/february/20210223/1848680_388f8b3e_9921_4310_9470_2b06e92e808c_dt_23022021_0215_54_078.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104
51,292,27,NULL,NULL,488,55:33.3,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,13:57.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,7559,35,NULL,NULL,14278,06:24.5,0,NULL,Draft,1846242,NULL,NULL,NULL,Yes,Pending,NULL,07:59.6,NULL,NULL,NULL,NULL,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,7561,35,2,NULL,14758,53:46.8,1,NULL,Submitted,1846001,NULL,53:43.6,14758,Yes,Approved,00:00.0,45:09.6,00:00.0,06:00.7,Mata taro(3)_d54b4ede.pdf,2021/march/20210324/1846001_3dc1386e_4734_4196_9f3f_0c44490ea1d7_dt_24032021_0306_00_416.pdf,agricultercontainer,1500,1,2, Qualification documents missing as applicant shows their qualification in university letter head that is not valid. So please attached proper certificate of required qualification,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127
54,7560,35,2,NULL,14281,49:38.4,1,NULL,Submitted,1846001,NULL,24:10.4,14281,Yes,Approved,00:00.0,32:44.6,00:00.0,23:59.8,"Sukhnoor Pesticides, Sangtiwala (F)_0d1138be.pdf",2021/january/20210119/1846001_b6cecf4d_68c2_481e_aa6c_76a13822bf2f_dt_19012021_0124_00_523.pdf,agricultercontainer,1500,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62
55,7562,35,2,NULL,14759,15:46.6,1,NULL,Submitted,1846242,NULL,58:34.3,14759,Yes,Approved,00:00.0,48:14.9,00:00.0,32:29.3,636_ec730fac.jpg,2021/january/20210112/1846242_3a598c9a_e529_426e_9aaf_b3f514b71fb0_dt_12012021_0332_29_983.jpg,agricultercontainer,1000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55
56,292,27,NULL,NULL,488,10:20.3,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,52:59.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,292,27,2,NULL,488,18:21.1,1,NULL,Submitted,1848680,NULL,16:23.8,488,Yes,Approved,00:00.0,52:33.1,00:00.0,55:37.4,SMG Renewal_3899e95c.pdf,2020/december/20201202/1848680_c2991f15_f884_492a_b92d_2d396ad0f322_dt_02122020_0955_37_469.pdf,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13
58,158,27,2,NULL,441,26:18.4,1,NULL,Submitted,1848680,NULL,37:44.9,441,Yes,Approved,00:00.0,04:30.2,00:00.0,29:20.2,JU license_3d180273.pdf,2020/december/20201228/1848680_a6c214fc_fa59_4447_b032_d1d96246bd30_dt_28122020_0329_18_428.pdf,agricultercontainer,1550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35
59,7565,35,2,NULL,14771,45:51.2,1,NULL,Submitted,1846884,NULL,37:42.5,14771,Yes,Approved,00:00.0,08:50.6,00:00.0,06:08.9,Fertilizer Licence New Online_7233c726.pdf,2020/december/20201207/1846884_34693893_3a47_4d99_a283_1ed0cd07b6c4_dt_07122020_0106_08_991.pdf,agricultercontainer,2000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13
60,7566,35,2,NULL,14770,12:53.9,1,NULL,Submitted,1846884,NULL,38:51.6,14770,Yes,Approved,00:00.0,58:59.2,00:00.0,26:35.2,WhatsApp Image 2021-01-21 at 10.29.42 AM_6119ee57.jpeg,2021/january/20210121/1846884_2f6286a0_1047_4866_a0f2_095e159c0c0c_dt_21012021_1026_38_057.jpg,agricultercontainer,2000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57
61,40,27,2,NULL,364,16:43.3,1,NULL,Submitted,1848680,NULL,17:50.1,364,Yes,Approved,00:00.0,20:53.4,00:00.0,50:18.4,Bharat_f083e576.pdf,2020/december/20201219/1848680_9dd92a41_aa19_4bc0_a5c1_c8d0bfa6e471_dt_19122020_0150_21_416.pdf,agricultercontainer,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24
62,7567,35,2,NULL,2342,15:15.0,1,NULL,Submitted,1846242,NULL,29:17.6,2342,Yes,Approved,00:00.0,44:06.9,00:00.0,43:09.3,640_18dbf88f.pdf,2021/february/20210222/1846242_7e936b1c_2ee6_45d4_9fb0_d1e846833603_dt_22022021_0343_09_490.pdf,agricultercontainer,1000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86
63,281,27,NULL,NULL,362,34:07.1,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,31:29.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Sale report should be of previous one year, Address of firm not mentioned in Form A1, License / MOA number to be renewed is wrong in affidavit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,50,41,NULL,NULL,333,41:49.8,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,46:55.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Required documents not uploaded, write previously existing brand names first and then write new brand names in respective space",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,7564,35,2,NULL,14768,40:59.1,1,NULL,Submitted,1846468,NULL,53:18.1,14768,Yes,Approved,00:00.0,13:40.9,00:00.0,15:59.3,license of fertilizer_1d40af5f.pdf,2021/february/20210203/1846468_65961d81_4206_4774_a11d_549aafe4579e_dt_03022021_1215_59_219.pdf,agricultercontainer,2000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62
66,7568,35,2,NULL,14781,48:56.8,1,NULL,Submitted,1846001,NULL,31:16.2,14781,Yes,Approved,00:00.0,39:27.0,00:00.0,21:16.3,Maan Agro Center (F)_3240cae4.pdf,2021/january/20210119/1846001_b694aeff_8b7c_4275_8e19_c9fa0a994d72_dt_19012021_0121_17_102.pdf,agricultercontainer,1500,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47
67,261,39,NULL,NULL,416,46:06.5,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,25:48.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,upload validity in application as validity of your MOA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,566,29,NULL,NULL,14782,46:41.4,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,19:21.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Date format in product information not correct,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,325,39,NULL,NULL,479,00:46.0,1,2.02E+11,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,59:34.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, Other manufacturing compnay detail filled while products are to be self imported,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,568,29,NULL,NULL,13714,37:52.5,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,11:10.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," CIN number not visible in Memorandum, Pollution NOC not proper, Differenciate Fertilizer/Pesticide manufacturing ang storage area in map, para 8 of general affidavit incomplete, products sr no should be continous,  Potassium Sulphate is mixture or complex (not clear) 0:0:52 written in affidavit, entries of city compost, magnissium sulphate borax and 0:0:52 to be corrected in product entry list, para 10 of general affidavit 'her qualification' written",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
