Application_Id,Parent_Application_Id,Process_Id,Payment_Status,Objection_Status,Manufactrer_Id,Created_On,Is_Service_Completed,Request_Id_Fk,Is_Service_Submitted,Application_To_Be_Received_By,Payment_Remarks,Payment_Status_Date,Payment_Status_By,Is_Payment_Required,Application_Status,Application_Status_Updated_By,Application_Status_Updated_On,Is_Output_Generated,Output_Generated_On,Output_File_Name,Output_BlobFileReference,Output_ContainerName,Amount,Is_District_Level,LicenseType,RejectionRemarks,EsewaApplication_Id,FinalOutput_FileName,FinalOutput_BlobReference,Is_data_MOved,Deleted_Esewa_Application_Id,ReceiptNo,PaymentAmount,PaymentDate,PaymentBy,date_difference
1289,1141,36,2,NULL,6379,35:59.2,0,NULL,Submitted,1849196,NULL,27:08.8,6379,Yes,Pending,00:00.0,53:25.0,NULL,NULL,NULL,NULL,NULL,1050,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1290,2667,51,2,NULL,12177,49:48.4,1,NULL,Submitted,1848495,NULL,56:05.5,12177,Yes,Approved,00:00.0,56:01.3,00:00.0,06:59.2,License_24d075bc.pdf,2021/april/20210415/1848495_b015f3e7_6497_42e2_9b91_c4bf17e2719d_dt_15042021_0407_00_980.pdf,agricultercontainer,25,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
1291,2621,36,2,NULL,12159,22:57.5,1,NULL,Submitted,1848495,NULL,25:28.8,12159,Yes,Approved,00:00.0,55:41.2,00:00.0,18:27.7,License_9d84064f.pdf,2021/may/20210524/1848495_48c45b4a_4f80_49d9_bd91_3f55fab3b20a_dt_24052021_0918_25_866.pdf,agricultercontainer,1050,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60
1292,446,28,2,NULL,8108,29:47.6,0,NULL,Submitted,1846884,NULL,16:10.9,8108,Yes,Pending,00:00.0,42:05.9,NULL,NULL,NULL,NULL,NULL,1600,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1293,216,28,2,NULL,5714,33:33.5,1,NULL,Submitted,1849201,NULL,47:48.6,5714,Yes,Approved,00:00.0,14:00.1,00:00.0,50:24.2,sandhu spray store_8aac2d4d.pdf,2021/august/20210827/1849201_88350b33_690c_4d94_ae70_769531d0f919_dt_27082021_0201_09_086.pdf,agricultercontainer,1000,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,155
1294,6146,49,2,NULL,9403,02:41.4,1,NULL,Submitted,1847563,NULL,27:08.0,9403,Yes,Approved,00:00.0,27:57.0,00:00.0,38:09.3,Purba_e60f10bc.pdf,2021/april/20210409/1847563_d3c16417_d326_4ff2_89ab_739cfb6c7e76_dt_09042021_0138_08_699.pdf,agricultercontainer,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15
1295,216,52,2,NULL,5714,47:05.5,1,NULL,Submitted,1849201,NULL,54:30.6,5714,Yes,Approved,00:00.0,13:58.0,00:00.0,50:46.5,sandhu spray store_2c157d9e.pdf,2021/august/20210827/1849201_0279e0b9_154c_480f_b724_6ade4446bd9a_dt_27082021_0201_31_417.pdf,agricultercontainer,100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,155
1296,5526,36,2,NULL,8849,46:46.0,0,NULL,Submitted,1847561,NULL,13:13.8,8849,Yes,Pending,00:00.0,59:26.6,NULL,NULL,NULL,NULL,NULL,1050,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1297,3846,60,2,NULL,530,49:49.2,1,NULL,Submitted,1846884,NULL,51:21.0,530,Yes,Approved,00:00.0,51:49.1,00:00.0,10:19.7,WhatsApp Image 2021-06-23 at 1.17.19 PM_6f8c3e58.jpeg,2021/june/20210623/1846884_e677eed5_640d_41f8_a61f_7d35431607f6_dt_23062021_0110_19_582.jpg,agricultercontainer,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90
1298,3846,55,2,NULL,530,13:44.8,1,NULL,Submitted,1846884,NULL,15:27.3,530,Yes,Approved,00:00.0,16:02.4,00:00.0,10:01.2,WhatsApp Image 2021-06-23 at 1.17.19 PM_2dbbaf78.jpeg,2021/june/20210623/1846884_19b2f186_faf0_4de6_b803_1edd4490e009_dt_23062021_0110_01_076.jpg,agricultercontainer,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90
